title,url,year,rating,genres,streams
Kadhalikka Neramillai,https://uflix.cc/movie/kadhalikka-neramillai-2025,,,,"/movie/kadhalikka-neramillai-2025?api=stream1, /movie/kadhalikka-neramillai-2025?api=stream2, /movie/kadhalikka-neramillai-2025?api=stream3, /movie/kadhalikka-neramillai-2025?api=stream4, /movie/kadhalikka-neramillai-2025?api=stream5"
Music Box: Yacht Rock: A DOCKumentary,https://uflix.cc/movie/music-box-yacht-rock-a-dockumentary-2024,,,,"/movie/music-box-yacht-rock-a-dockumentary-2024?api=stream1, /movie/music-box-yacht-rock-a-dockumentary-2024?api=stream2, /movie/music-box-yacht-rock-a-dockumentary-2024?api=stream3, /movie/music-box-yacht-rock-a-dockumentary-2024?api=stream4, /movie/music-box-yacht-rock-a-dockumentary-2024?api=stream5"
Belyas,https://uflix.cc/movie/belyas-2025,,,,"/movie/belyas-2025?api=stream1, /movie/belyas-2025?api=stream2, /movie/belyas-2025?api=stream3, /movie/belyas-2025?api=stream4, /movie/belyas-2025?api=stream5"
Un lío de millones,https://uflix.cc/movie/un-lo-de-millones-2024,,,,"/movie/un-lo-de-millones-2024?api=stream1, /movie/un-lo-de-millones-2024?api=stream2, /movie/un-lo-de-millones-2024?api=stream3, /movie/un-lo-de-millones-2024?api=stream4, /movie/un-lo-de-millones-2024?api=stream5"
Christmas On Call,https://uflix.cc/movie/christmas-on-call-2024,,,,"/movie/christmas-on-call-2024?api=stream1, /movie/christmas-on-call-2024?api=stream2, /movie/christmas-on-call-2024?api=stream3, /movie/christmas-on-call-2024?api=stream4, /movie/christmas-on-call-2024?api=stream5"
We Live in Time,https://uflix.cc/movie/we-live-in-time-2024,,,,"/movie/we-live-in-time-2024?api=stream1, /movie/we-live-in-time-2024?api=stream2, /movie/we-live-in-time-2024?api=stream3, /movie/we-live-in-time-2024?api=stream4, /movie/we-live-in-time-2024?api=stream5"
Sosyal Climbers,https://uflix.cc/movie/sosyal-climbers-2025,,,,"/movie/sosyal-climbers-2025?api=stream1, /movie/sosyal-climbers-2025?api=stream2, /movie/sosyal-climbers-2025?api=stream3, /movie/sosyal-climbers-2025?api=stream4, /movie/sosyal-climbers-2025?api=stream5"
F1 The Movie,https://uflix.cc/movie/f1-the-movie-2025,,,,"/movie/f1-the-movie-2025?api=stream1, /movie/f1-the-movie-2025?api=stream2, /movie/f1-the-movie-2025?api=stream3, /movie/f1-the-movie-2025?api=stream4, /movie/f1-the-movie-2025?api=stream5"
Nickel Boys,https://uflix.cc/movie/nickel-boys-2024,,,,"/movie/nickel-boys-2024?api=stream1, /movie/nickel-boys-2024?api=stream2, /movie/nickel-boys-2024?api=stream3, /movie/nickel-boys-2024?api=stream4, /movie/nickel-boys-2024?api=stream5"
The Invisible Raptor,https://uflix.cc/movie/the-invisible-raptor-2024,,,,"/movie/the-invisible-raptor-2024?api=stream1, /movie/the-invisible-raptor-2024?api=stream2, /movie/the-invisible-raptor-2024?api=stream3, /movie/the-invisible-raptor-2024?api=stream4, /movie/the-invisible-raptor-2024?api=stream5"
Catalyst,https://uflix.cc/movie/catalyst-2025,,,,"/movie/catalyst-2025?api=stream1, /movie/catalyst-2025?api=stream2, /movie/catalyst-2025?api=stream3, /movie/catalyst-2025?api=stream4, /movie/catalyst-2025?api=stream5"
The Severed Sun,https://uflix.cc/movie/the-severed-sun-2025,,,,"/movie/the-severed-sun-2025?api=stream1, /movie/the-severed-sun-2025?api=stream2, /movie/the-severed-sun-2025?api=stream3, /movie/the-severed-sun-2025?api=stream4, /movie/the-severed-sun-2025?api=stream5"
The Amateur,https://uflix.cc/movie/the-amateur-2025,,,,"/movie/the-amateur-2025?api=stream1, /movie/the-amateur-2025?api=stream2, /movie/the-amateur-2025?api=stream3, /movie/the-amateur-2025?api=stream4, /movie/the-amateur-2025?api=stream5"
Olivia Rodrigo: GUTS World Tour,https://uflix.cc/movie/olivia-rodrigo-guts-world-tour-2024,,,,"/movie/olivia-rodrigo-guts-world-tour-2024?api=stream1, /movie/olivia-rodrigo-guts-world-tour-2024?api=stream2, /movie/olivia-rodrigo-guts-world-tour-2024?api=stream3, /movie/olivia-rodrigo-guts-world-tour-2024?api=stream4, /movie/olivia-rodrigo-guts-world-tour-2024?api=stream5"
Death Before the Wedding,https://uflix.cc/movie/death-before-the-wedding-2025,,,,"/movie/death-before-the-wedding-2025?api=stream1, /movie/death-before-the-wedding-2025?api=stream2, /movie/death-before-the-wedding-2025?api=stream3, /movie/death-before-the-wedding-2025?api=stream4, /movie/death-before-the-wedding-2025?api=stream5"
Justice,https://uflix.cc/movie/justice-2024,,,,"/movie/justice-2024?api=stream1, /movie/justice-2024?api=stream2, /movie/justice-2024?api=stream3, /movie/justice-2024?api=stream4, /movie/justice-2024?api=stream5"
The Alien Perspective,https://uflix.cc/movie/the-alien-perspective-2025,,,,"/movie/the-alien-perspective-2025?api=stream1, /movie/the-alien-perspective-2025?api=stream2, /movie/the-alien-perspective-2025?api=stream3, /movie/the-alien-perspective-2025?api=stream4, /movie/the-alien-perspective-2025?api=stream5"
The Surrender,https://uflix.cc/movie/the-surrender-2025,,,,"/movie/the-surrender-2025?api=stream1, /movie/the-surrender-2025?api=stream2, /movie/the-surrender-2025?api=stream3, /movie/the-surrender-2025?api=stream4, /movie/the-surrender-2025?api=stream5"
Ocean with David Attenborough,https://uflix.cc/movie/ocean-with-david-attenborough-2025,,,,"/movie/ocean-with-david-attenborough-2025?api=stream1, /movie/ocean-with-david-attenborough-2025?api=stream2, /movie/ocean-with-david-attenborough-2025?api=stream3, /movie/ocean-with-david-attenborough-2025?api=stream4, /movie/ocean-with-david-attenborough-2025?api=stream5"
The Chosen: Last Supper,https://uflix.cc/movie/the-chosen-last-supper-2025,,,,"/movie/the-chosen-last-supper-2025?api=stream1, /movie/the-chosen-last-supper-2025?api=stream2, /movie/the-chosen-last-supper-2025?api=stream3, /movie/the-chosen-last-supper-2025?api=stream4, /movie/the-chosen-last-supper-2025?api=stream5"
Maria,https://uflix.cc/movie/maria-2024,,,,"/movie/maria-2024?api=stream1, /movie/maria-2024?api=stream2, /movie/maria-2024?api=stream3, /movie/maria-2024?api=stream4, /movie/maria-2024?api=stream5"
Hurry Up Tomorrow,https://uflix.cc/movie/hurry-up-tomorrow-2025,,,,"/movie/hurry-up-tomorrow-2025?api=stream1, /movie/hurry-up-tomorrow-2025?api=stream2, /movie/hurry-up-tomorrow-2025?api=stream3, /movie/hurry-up-tomorrow-2025?api=stream4, /movie/hurry-up-tomorrow-2025?api=stream5"
